"from","to","weight"
1,2,131422
1,3,335729
1,4,279015
1,5,20331
1,6,111775
1,7,1586
1,8,3296
1,9,12366
1,10,180760
1,11,17850
1,12,582
1,13,117681
1,14,36664
1,15,83982
1,16,74056
1,17,278
1,18,1313
1,19,844
1,20,734
1,21,580
1,22,1726
1,23,43076
1,24,4264
1,25,1275
1,26,13517
1,27,850
1,28,24795
1,29,139
1,30,987
1,31,20989
1,32,354
1,33,2361
1,34,7531
1,35,33409
1,36,38957
1,37,920
1,38,24780
1,39,9041
1,40,11123
1,41,18240
1,42,26401
1,43,533
1,44,367
1,45,588
1,46,20
1,47,211
1,48,12
1,49,8977
1,50,2422
1,51,1807
1,52,241
1,53,180
1,54,8449
1,55,219
1,56,140
1,57,436
1,58,167
1,59,2646
1,60,4431
1,61,13
1,62,194
1,63,2266
1,64,18
1,65,757
1,66,112
1,67,3
1,68,75
1,69,9
1,70,40
1,71,48
1,72,1078
1,73,336
1,74,1414
1,75,767
1,76,226
1,77,6
1,78,58
1,79,86
1,80,1362
1,81,7
1,82,10
1,83,39
1,84,63
1,85,24
1,86,10
1,87,94
1,88,44
1,90,137
1,91,22
1,92,17
1,93,333
1,94,2
1,95,0
1,98,6
1,99,0
1,104,1
1,105,23
1,106,1
1,107,4
1,109,0
1,110,4
1,115,5
2,1,395266
2,3,8587
2,4,12324
2,5,25710
2,6,6127
2,7,691
2,8,19549
2,9,739
2,10,6703
2,11,223
2,12,271
2,13,4248
2,14,129873
2,15,5321
2,16,1470
2,17,64
2,18,357
2,19,30536
2,20,1367
2,21,170
2,22,11502
2,23,38177
2,24,562
2,25,5539
2,26,17014
2,27,7756
2,28,93857
2,29,15
2,30,1708
2,31,470
2,32,25822
2,33,4412
2,34,835
2,35,458
2,36,82354
2,37,14984
2,38,7336
2,39,4056
2,40,348
2,41,1740
2,42,399
2,43,12894
2,44,1092
2,45,2384
2,46,1
2,47,6
2,48,0
2,49,329
2,50,395
2,51,2908
2,52,10578
2,53,12
2,54,1897
2,55,440
2,56,3613
2,57,178
2,58,55
2,59,94
2,60,3558
2,61,3
2,62,3
2,63,292
2,64,5
2,65,6
2,66,554
2,67,9
2,68,258
2,70,4
2,72,58
2,73,3
2,74,63
2,75,264
2,76,25
2,78,5966
2,79,1767
2,80,34
2,81,101
2,82,1149
2,83,2
2,84,430
2,85,1571
2,86,123
2,87,33
2,88,1677
2,90,7
2,92,6
2,93,20
2,95,133
2,96,3
2,98,111
2,100,15
2,104,2
2,106,1
2,109,37
2,110,1
2,115,7
2,116,3
3,1,273061
3,2,1773
3,4,86925
3,5,710
3,6,1625
3,7,4482
3,8,102
3,9,13029
3,10,78137
3,11,46248
3,12,3298
3,13,57923
3,14,1931
3,15,211
3,16,57895
3,17,638
3,18,1887
3,19,51
3,20,1726
3,21,4776
3,22,0
3,23,8696
3,24,4421
3,25,577
3,26,17104
3,27,169
3,28,3045
3,29,105
3,30,596
3,31,2596
3,32,2
3,33,307
3,34,11110
3,35,33651
3,36,5780
3,37,253
3,38,13036
3,39,6513
3,40,16569
3,41,7144
3,42,19028
3,43,20
3,44,7
3,45,17
3,46,62
3,47,1312
3,48,113
3,49,12062
3,50,629
3,51,1123
3,52,13
3,53,876
3,54,6864
3,55,1206
3,56,7
3,57,596
3,58,417
3,59,4767
3,60,2239
3,61,4
3,62,636
3,63,2735
3,64,257
3,65,1533
3,67,42
3,68,67
3,69,192
3,70,114
3,71,694
3,72,5719
3,73,129
3,75,690
3,76,3
3,77,12
3,78,1
3,79,2
3,80,2724
3,81,1
3,83,152
3,85,9
3,86,1
3,87,3
3,88,3
3,89,4
3,90,75
3,91,222
3,92,8
3,93,317
3,94,7
3,96,1
3,97,1
3,98,2
3,99,7
3,100,1
3,101,5
3,104,4
3,105,31
3,106,1
3,107,1
3,108,11
3,110,6
3,111,6
3,112,0
3,114,1
3,115,2
4,1,263987
4,2,3778
4,3,89871
4,5,135
4,6,8872
4,7,221
4,8,446
4,9,29903
4,10,12870
4,11,54307
4,12,195
4,13,2814
4,14,339
4,15,69
4,16,5465
4,17,29
4,18,33
4,19,178
4,20,569
4,21,102
4,22,22
4,23,2437
4,24,893
4,25,204
4,26,11726
4,27,342
4,28,815
4,29,220
4,30,183
4,31,790
4,32,20
4,33,1937
4,34,11375
4,35,1340
4,36,2410
4,37,25
4,38,4485
4,39,1243
4,40,8062
4,41,3543
4,42,4600
4,43,43
4,44,36
4,45,314
4,46,1
4,47,143
4,48,3
4,49,1272
4,50,241
4,51,2946
4,52,144
4,53,44
4,54,394
4,55,144
4,56,9
4,57,35
4,58,21
4,59,3410
4,60,3305
4,62,166
4,63,785
4,64,0
4,65,2991
4,68,68
4,69,9
4,70,1
4,71,18
4,72,840
4,73,101
4,75,135
4,77,26
4,78,0
4,79,3
4,80,43
4,82,0
4,83,56
4,85,2
4,87,0
4,88,5
4,89,0
4,90,163
4,91,493
4,93,287
4,95,0
4,98,4
4,104,3
4,105,74
4,108,28
4,113,0
5,1,54357
5,2,22099
5,3,1924
5,4,536
5,6,50062
5,7,886
5,8,2744
5,9,148
5,10,174
5,11,17
5,12,264
5,13,515
5,14,27858
5,15,16001
5,16,52
5,17,142
5,18,6555
5,19,3360
5,20,57
5,21,83
5,22,9341
5,23,728
5,24,1490
5,25,1505
5,26,1956
5,27,1258
5,28,3968
5,29,1
5,30,511
5,31,190
5,32,322
5,33,1654
5,34,16
5,35,10
5,36,304
5,37,3354
5,38,2437
5,39,29
5,40,73
5,41,5
5,42,0
