JCR,Full,Short
PHARM STAT,PHARMACEUTICAL STATISTICS,Pharm Stats
STAT MED,STATISTICS IN MEDICINE,Stats in Medicine
PAK J STAT,Pakistan Journal of Statistics,Pakistan J Stats
COMPUTATION STAT,COMPUTATIONAL STATISTICS,Comp Stats
AUST NZ J STAT,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,ANZ J Stats
COMMUN STAT-SIMUL C,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,Comm Stats: Sim & Comp
COMPUT STAT DATA AN,COMPUTATIONAL STATISTICS & DATA ANALYSIS,Comp Stats & Data Analysis
J APPL STAT,JOURNAL OF APPLIED STATISTICS,J Applied Stats
J R STAT SOC A STAT,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,JRSS-A
J R STAT SOC C-APPL,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,JRSS-C
J TIME SER ANAL,JOURNAL OF TIME SERIES ANALYSIS,J Time Series
APPL STOCH MODEL BUS,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,Appl Stoch Models in Business
J MACH LEARN RES,JOURNAL OF MACHINE LEARNING RESEARCH,J Machine Learning Res
J MULTIVARIATE ANAL,JOURNAL OF MULTIVARIATE ANALYSIS,J Multivariate Analysis
MACH LEARN,MACHINE LEARNING,Machine Learning
J AM STAT ASSOC,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,JASA
STAT COMPUT,STATISTICS AND COMPUTING,Stats & Comp
BERNOULLI,BERNOULLI,Bernoulli
METHODOL COMPUT APPL,METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,Methods & Comp in Appl Prob
J AGR BIOL ENVIR ST,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J Agr Bio & Envir Stats
BRAZ J PROBAB STAT,Brazilian Journal of Probability and Statistics,Brazil J Prob & Stats
COMMUN STAT-THEOR M,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,Comm Stats: Theory & Methods
STAT PAP,STATISTICAL PAPERS,Stats Papers
STAT PROBABIL LETT,STATISTICS & PROBABILITY LETTERS,Stats & Prob Letters
STATISTICS,STATISTICS,Statistics
TEST-SPAIN,TEST,Test
J KOREAN STAT SOC,Journal of the Korean Statistical Society,J Korean SS
REV COLOMB ESTAD,Revista Colombiana de Estadistica,Rev Colomb Estad
J STAT PLAN INFER,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,J Stat Plan & Infer
ANN I STAT MATH,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,Ann Inst Stat Maths
J STAT COMPUT SIM,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,J Stats Comp & Sim
ANN STAT,ANNALS OF STATISTICS,Annals
BIOMETRIKA,BIOMETRIKA,Biometrika
ELECTRON J STAT,Electronic Journal of Statistics,EJ Stats
ESAIM-PROBAB STAT,ESAIM-Probability and Statistics,ESAIM Prob & Stats
EXTREMES,Extremes,Extremes
J R STAT SOC B,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,JRSS-B
METRIKA,METRIKA,Metrika
PROBAB ENG INFORM SC,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,Prob Eng & Inf Sci
SCAND ACTUAR J,Scandinavian Actuarial Journal,Scand Actuarial J
SCAND J STAT,SCANDINAVIAN JOURNAL OF STATISTICS,Scan J Stats
SEQUENTIAL ANAL,Sequential Analysis-Design Methods and Applications,Seq Analysis
STOCH MODELS,STOCHASTIC MODELS,Stoch Models
ADV DATA ANAL CLASSI,Advances in Data Analysis and Classification,Adv Data Analysis & Class
J STAT SOFTW,Journal of Statistical Software,J Stat Software
STAT METHOD APPL-GER,Statistical Methods and Applications,Stat Methods & Appl
QUAL RELIAB ENG INT,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,Qual Rel Eng Int
TECHNOMETRICS,TECHNOMETRICS,Technometrics
BIOMETRICS,BIOMETRICS,Biometrics
STAT BIOPHARM RES,Statistics in Biopharmaceutical Research,Stats in Biopharm Res
ANN APPL STAT,Annals of Applied Statistics,Ann Appl Stats
STAT SCI,STATISTICAL SCIENCE,Stat Sci
ENVIRONMETRICS,ENVIRONMETRICS,Environometrics
STAT METHODS MED RES,STATISTICAL METHODS IN MEDICAL RESEARCH,Stat Meth Med Res
BAYESIAN ANAL,Bayesian Analysis,Bayesian Analysis
BIOMETRICAL J,BIOMETRICAL JOURNAL,Biometrical J
BIOSTATISTICS,BIOSTATISTICS,Biostatistics
