"journal","community"
"4OR-Q J OPER RES",25
"ANN OPER RES",25
"APPL MATH COMPUT",8
"APPL MATH MODEL",25
"APPL SOFT COMPUT",25
"CENT EUR J OPER RES",25
"COMPUT IND ENG",25
"COMPUT OPER RES",25
"DISCRETE APPL MATH",44
"DISCRETE OPTIM",25
"EUR J IND ENG",25
"EUR J OPER RES",25
"EURASIP J WIREL COMM",27
"EXPERT SYST APPL",25
"FLEX SERV MANUF J",25
"FUZZY SET SYST",25
"INFORM PROCESS LETT",44
"INFORM SCIENCES",25
"INFORMS J COMPUT",25
"INT J ADV MANUF TECH",25
"INT J LOGIST-RES APP",12
"INT J PROD RES",25
"INT T OPER RES",25
"J AIR TRANSP MANAG",55
"J APPL MATH",8
"J COMB OPTIM",44
"J GLOBAL OPTIM",25
"J HEURISTICS",25
"J OPER RES SOC",25
"J OPT COMMUN NETW",27
"J SCHEDULING",25
"KNOWL-BASED SYST",25
"LINEAR ALGEBRA APPL",8
"LINEAR MULTILINEAR A",8
"MATH METHOD OPER RES",25
"MATH PROBL ENG",25
"MATH PROGRAM",25
"NETWORKS",25
"OPTIM LETT",25
"OPTIM METHOD SOFTW",25
"OPTIMIZATION",25
"PAC J OPTIM",25
"PLOS ONE",1
"SIAM J OPTIMIZ",25
"TELECOMMUN SYST",27
"THEOR COMPUT SCI",44
"TRANSPORT RES B-METH",55
"TRANSPORT RES C-EMER",55
"TRANSPORT RES E-LOG",55
"TRANSPORT SCI",25
"AGGRESS VIOLENT BEH",47
"AM J HEALTH PROMOT",3
"AM J IND MED",38
"AM J INFECT CONTROL",13
"AM J NURS",3
"AM J PREV MED",3
"ANN OCCUP HYG",38
"APPL ERGON",38
"ARCH ENVIRON OCCUP H",38
"ASIAN PAC J ALLERGY",3
"BMC HEALTH SERV RES",3
"BMC PUBLIC HEALTH",3
"BREASTFEED MED",3
"CAN MED ASSOC J",3
"CIRC-CARDIOVASC QUAL",3
"COCHRANE DB SYST REV",3
"CONTEMP NURSE",3
"CRIT PUBLIC HEALTH",3
"CURR EYE RES",41
"DIABETES CARE",3
"DIABETES EDUCATOR",3
"DISASTERS",18
"ERGONOMICS",38
"EXPERT REV VACCINES",13
"GASTROENTEROL NURS",16
"HEADACHE",4
"IMPLEMENT SCI",3
"INT ARCH OCC ENV HEA",38
"INT J ENV RES PUB HE",3
"INT J NURS STUD",3
"INT J OCCUP ENV HEAL",38
"J AGROMEDICINE",38
"J BURN CARE RES",63
"J CLIN NURS",3
"J COMMUN HEALTH",3
"J CONTIN EDUC NURS",3
"J FORMOS MED ASSOC",3
"J IMMIGR MINOR HEALT",3
"J KOREAN MED SCI",3
"J MOL NEUROSCI",4
"J NURS ADMIN",3
"J NURS EDUC",3
"J NURS MANAGE",3
"J OCCUP ENVIRON MED",38
"J OCCUP REHABIL",38
"J PEDIATR NURS",3
"J PHYS THER SCI",4
"J SAFETY RES",55
"MED PR",38
"MIDWIFERY",3
"NURS EDUC TODAY",3
"NURS OUTLOOK",3
"NURS RES",3
"ORTHOP NURS",3
"PSYCHOL REP",9
"PUBLIC HEALTH NURS",3
